user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
DeSota Wilson,"Atlanta, GA","Biz Consultant, real estate, fintech, startups, posts are not the view of my employer, RTs are not endorsements, military brat, @UNC alumnus, ΚΑΨ♦️ΦΝΠ, -DW = Me",26/04/2009 20:05,8534,7605,4838,FALSE,10/02/2021 23:59,Blue Ridge Bank shares halted by NYSE after #bitcoin ATM announcement https://t.co/xaaZmaJKiV @MyBlueRidgeBank… https://t.co/sgBxMkP1SI,['bitcoin'],Twitter Web App,FALSE
CryptoND,,😎 BITCOINLIVE is a Dutch platform aimed at informing the general public about crypto & technology! 😉 AND promoting it: https://t.co/5RYdRnUSud,17/10/2019 20:12,6769,1532,25483,FALSE,10/02/2021 23:58,"😎 Today, that's this #Thursday, we will do a ""🎬 Take 2"" with our friend @LeoWandersleb, #Btc #wallet #security expe… https://t.co/go6aDgRml5","['Thursday', 'Btc', 'wallet', 'security']",Twitter for Android,FALSE
Tdlmatias,"London, England","IM Academy : The best #forex, #SelfEducation, #Cryptocurrency trading education platform: https://t.co/LUr56q3Q19 🙋‍♂️ 💰 💰in the World 🗺..",10/11/2014 10:50,128,332,924,FALSE,10/02/2021 23:54,"Guys evening, I have read this article about BTC and would like to share with you all - https://t.co/QxCZgmuy3B… https://t.co/o6wn7ppkVY",,Twitter Web App,FALSE
Crypto is the future,,"I will post a lot of buying signals for BTC trading, so I hope that you block me. Drop all everything, Buy Bitcoin for the future I was together with you!",28/09/2019 16:48,625,129,14,FALSE,10/02/2021 23:54,$BTC A big chance in a billion! Price: \4872644.0 (2021/02/11 08:51) #Bitcoin #FX #BTC #crypto,"['Bitcoin', 'FX', 'BTC', 'crypto']",dlvr.it,FALSE
Alex Kirchmaier 🇦🇹🇸🇪 #FactsSuperspreader,Europa,"Co-founder @RENJERJerky | Forbes 30Under30 | Innovation Economist, Lateral Thinker, Futurist, #Crypto-enthusiast, facts over ideology! 
#Bitcoin",03/02/2016 13:15,1249,1472,10482,FALSE,10/02/2021 23:54,"This network is secured by 9 508 nodes as of today. Soon, the biggest bears will recognise: #BTC in too big to fail… https://t.co/1XovDA8rKw",['BTC'],Twitter Web App,FALSE
ZerrBenz™ ⚔ ✪ 20732,"Bkk, Thailand",I'm a cat slave 🐱 Interested in Blockchain · Tech · Internet Marketing · Affliate · Legit Airdrop. Have a nice day! ◡̈ Handcash: $zerrbenz,12/01/2010 07:00,742,716,2444,FALSE,10/02/2021 23:53,"💹 Trade #Crypto on #Binance 

📌 Enjoy #Cashback 10% of the Trading fee
📌 Sign up link 👉 https://t.co/T4WttWeohc… https://t.co/Fc7dG5oI8W","['Crypto', 'Binance', 'Cashback']",Twitter Web App,FALSE
Bitcoin-Bot,"Florida, USA",Bot to generate Bitcoin picture as combinations of icons with random quotes. message in about every two hours.,23/12/2019 16:49,131,84,5728,FALSE,10/02/2021 23:53,"&lt;'fire' &amp; 'man'&gt;
#Bitcoin #Crypto #BTC https://t.co/CV9IyODy55","['Bitcoin', 'Crypto', 'BTC']",BTC_p_bot,FALSE
Cryptocurrencies / EUR,,Stay updated on the main cryptocurrencies of the market | @cryptosUSD for USD | Do you miss any coin? ➡️ DMs open,03/08/2018 21:30,4052,1,9,FALSE,10/02/2021 23:52,"🔄 Prices update in $EUR (1 hour):

$BTC   - 37082.1 €  (-0.51 %)
$ETH   - 1441.59 €  (+0.21 %)
$XRP   - 0.42 €    (… https://t.co/y3wlhAv2SX",,Cryptocurrencies prices to EUR,FALSE
Mikcoin,,"Technical Analyst | Trader

No certainty, only possibilities.",26/11/2020 23:45,104,41,238,FALSE,10/02/2021 23:52,"#BTC #Bitcoin #Ethereum #ETH #Crypto #cryptotrading 

$RSR I know i told you guys the target was $0.060, i know we… https://t.co/bvEtSnhs67","['BTC', 'Bitcoin', 'Ethereum', 'ETH', 'Crypto', 'cryptotrading']",Twitter Web App,FALSE
DeSota Wilson,"Atlanta, GA","Biz Consultant, real estate, fintech, startups, posts are not the view of my employer, RTs are not endorsements, military brat, @UNC alumnus, ΚΑΨ♦️ΦΝΠ, -DW = Me",26/04/2009 20:05,8534,7605,4838,FALSE,10/02/2021 23:52,.@Tesla’s #bitcoin investment is revolutionary for #crypto but other firms may not do the same just yet - @JPMorgan… https://t.co/WyKWfh0ELw,"['bitcoin', 'crypto']",Twitter Web App,FALSE
@massumeh18 #RefinedWarrior #Activist,NOVA,Persistent. to the extreme... #FREEPALESTINE #PersianPride 🇮🇷❤️💚❤️,05/01/2009 13:28,1159,2185,30852,FALSE,10/02/2021 23:52,Annnd #btc #Bitcoin is headed even higher now... https://t.co/EHAduI087d,"['btc', 'Bitcoin']",Twitter Web App,FALSE
BittrexPrices,,Scans Bittrex’s main currencies hourly | Also @BinancePrices @KrakenPrices | We are not @BittrexExchange | Business ➡ cryptocurrencies.prices@gmail.com,25/05/2018 20:30,3131,1,18,FALSE,10/02/2021 23:51,"🔄 Prices update in $USDT (1 hour):

$BTC - 44853.08 $     (-0.48 %)
$ETH - 1740.0 $       (-0.02 %)
$XRP - 0.5 $… https://t.co/v5oGvW7kLm",,Bittrex Prices,FALSE
CPUcoin,Cayman Islands,The Sharing Economy for CPU/GPU Power. Revolutionizing how people automatically deploy and scale decentralized services and DApps.,27/08/2018 15:42,5097,791,52,FALSE,10/02/2021 23:50,"Join our first virtual crypto meetup of 2021 - Crypto Fridays!

There is something for everyone, whether you're an… https://t.co/rPINdw6hCc",,Twitter Web App,FALSE
One Perspective,Market Place,"It's all a market of markets.

Past performance of a security or strategy does not guarantee future results or investing success. #Bitcoin",09/01/2018 21:49,668,1097,6853,FALSE,10/02/2021 23:50,#Bitcoin #BTC $BTC $GBTC $RIOT $MARA $ETH $ETHE #AAVE #DeFi $AAVE $COMP $CGLD $GRT #Crypto #cryptocurrency $XLM https://t.co/YiueUQr360,"['Bitcoin', 'BTC', 'AAVE', 'DeFi', 'Crypto', 'cryptocurrency']",Twitter for Android,FALSE
CryptoSquawk,Australia,"24x7 Crypto market real-time audio squawk for Bitcoin / BitMEX day traders. Whale trade alerts, peak volume trading, price action. Buying / selling pressure.",05/10/2017 10:13,1281,25,72,FALSE,10/02/2021 23:50,"⬆️⬆️ $BTC BUYING PRESSURE ALERT 📈 Price trading around 44843
          https://t.co/iMB1mj8Cs1 👈 #Bitcoin #crypto #BTC","['Bitcoin', 'crypto', 'BTC']",CryptoSquawkBot,FALSE
$MOON,Moon,#Bitcoin,12/07/2010 09:07,4,32,139,FALSE,10/02/2021 23:48,Buy #Bitcoin with 5% LIFETIME cashback on fees on the largest #cryptocurrency exchange with the link below.… https://t.co/Nr2Znh0qOx,"['Bitcoin', 'cryptocurrency']",Twitter Web App,FALSE
Mr. Anderson,,"#Bitcoin
Long Term TA Trader. Mixing Old School & New School Tricks. DYOR! Teaching Future Traders To Fish For Themselves",01/01/2018 22:16,72542,519,19763,FALSE,10/02/2021 23:48,"@naval #BTC is unconfiscatable 

All roads lead to #Bitcoin","['BTC', 'Bitcoin']",Twitter for iPhone,FALSE
Crypto is the future,,"I will post a lot of buying signals for BTC trading, so I hope that you block me. Drop all everything, Buy Bitcoin for the future I was together with you!",28/09/2019 16:48,625,129,14,FALSE,10/02/2021 23:47,$BTC A big chance in a million! Price: \4898631.0 (2021/02/11 08:45) #Bitcoin #FX #BTC #crypto,"['Bitcoin', 'FX', 'BTC', 'crypto']",dlvr.it,FALSE
DeSota Wilson,"Atlanta, GA","Biz Consultant, real estate, fintech, startups, posts are not the view of my employer, RTs are not endorsements, military brat, @UNC alumnus, ΚΑΨ♦️ΦΝΠ, -DW = Me",26/04/2009 20:05,8534,7605,4838,FALSE,10/02/2021 23:47,#Bitcoin institutional demand accelerates in 2021 says @Grayscale CEO https://t.co/HsbFlBwAL8 #BTC $BTC #crypto #cryptocurrency $GBTC,"['Bitcoin', 'BTC', 'crypto', 'cryptocurrency']",Twitter Web App,FALSE
Crypto Signaler,,#Crypto #Signaler #Cryptocurrency #Coin #Bitcoin #BTC #Blockchain #Binance #Trade #investment,08/04/2018 23:44,587,30,12,FALSE,10/02/2021 23:46,"Signal: $TFUEL
#TFUEL #ThetaFuel #Binance #Crypto #Signaler #Signal #BTC #Bitcoin https://t.co/0ZBX9pMGkB","['TFUEL', 'ThetaFuel', 'Binance', 'Crypto', 'Signaler', 'Signal', 'BTC', 'Bitcoin']",Twitter for Android,FALSE
Crypto Market,,"Live crypto market indicator (price, news, ico & much more).
#Bitcoin #BTC #Doge #Dogecoin #Cryptocurrency #Crypto #eth",07/09/2018 22:44,26,57,115,FALSE,10/02/2021 23:46,"$ADA Sky rocket 🔥🚀 #Patience 🔑
$1 Soon !!! 
#ada #adausdt #btc #bitcoin #adacoin https://t.co/W5XI5fDemG","['Patience', 'ada', 'adausdt', 'btc', 'bitcoin', 'adacoin']",Twitter for Android,FALSE
Crypto M🕶️stache ! 🇧🇪🇯🇴🇳🇱🇮🇪,World,"Cryptomaniac 24/7 bullish! 
Believe in Technology and Innovation!
Favorites: btc, xlm, xrp 🚀🚀🚀


Blocked by most of the NVA (belgium) 😆😆😆👍",17/05/2011 18:14,274,773,6404,FALSE,10/02/2021 23:46,"Forget all you know about #cryptocurrency 
These 6 coins are listed in #NASDAQ ETF!!!
These are the real ones with… https://t.co/XRyMP0yIcF","['cryptocurrency', 'NASDAQ']",Twitter for Android,FALSE
