user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
DeSota Wilson,"Atlanta, GA","Biz Consultant, real estate, fintech, startups, posts are not the view of my employer, RTs are not endorsements, military brat, @UNC alumnus, ΚΑΨ♦️ΦΝΠ, -DW = Me",26/04/2009 20:05,8534,7605,4838,FALSE,10/02/2021 23:59,Blue Ridge Bank shares halted by NYSE after #bitcoin ATM announcement https://t.co/xaaZmaJKiV @MyBlueRidgeBank… https://t.co/sgBxMkP1SI,['bitcoin'],Twitter Web App,FALSE
CryptoND,,😎 BITCOINLIVE is a Dutch platform aimed at informing the general public about crypto & technology! 😉 AND promoting it: https://t.co/5RYdRnUSud,17/10/2019 20:12,6769,1532,25483,FALSE,10/02/2021 23:58,"😎 Today, that's this #Thursday, we will do a ""🎬 Take 2"" with our friend @LeoWandersleb, #Btc #wallet #security expe… https://t.co/go6aDgRml5","['Thursday', 'Btc', 'wallet', 'security']",Twitter for Android,FALSE
Tdlmatias,"London, England","IM Academy : The best #forex, #SelfEducation, #Cryptocurrency trading education platform: https://t.co/LUr56q3Q19 🙋‍♂️ 💰 💰in the World 🗺..",10/11/2014 10:50,128,332,924,FALSE,10/02/2021 23:54,"Guys evening, I have read this article about BTC and would like to share with you all - https://t.co/QxCZgmuy3B… https://t.co/o6wn7ppkVY",,Twitter Web App,FALSE
Crypto is the future,,"I will post a lot of buying signals for BTC trading, so I hope that you block me. Drop all everything, Buy Bitcoin for the future I was together with you!",28/09/2019 16:48,625,129,14,FALSE,10/02/2021 23:54,$BTC A big chance in a billion! Price: \4872644.0 (2021/02/11 08:51) #Bitcoin #FX #BTC #crypto,"['Bitcoin', 'FX', 'BTC', 'crypto']",dlvr.it,FALSE
Alex Kirchmaier 🇦🇹🇸🇪 #FactsSuperspreader,Europa,"Co-founder @RENJERJerky | Forbes 30Under30 | Innovation Economist, Lateral Thinker, Futurist, #Crypto-enthusiast, facts over ideology! 
#Bitcoin",03/02/2016 13:15,1249,1472,10482,FALSE,10/02/2021 23:54,"This network is secured by 9 508 nodes as of today. Soon, the biggest bears will recognise: #BTC in too big to fail… https://t.co/1XovDA8rKw",['BTC'],Twitter Web App,FALSE
ZerrBenz™ ⚔ ✪ 20732,"Bkk, Thailand",I'm a cat slave 🐱 Interested in Blockchain · Tech · Internet Marketing · Affliate · Legit Airdrop. Have a nice day! ◡̈ Handcash: $zerrbenz,12/01/2010 07:00,742,716,2444,FALSE,10/02/2021 23:53,"💹 Trade #Crypto on #Binance 

📌 Enjoy #Cashback 10% of the Trading fee
📌 Sign up link 👉 https://t.co/T4WttWeohc… https://t.co/Fc7dG5oI8W","['Crypto', 'Binance', 'Cashback']",Twitter Web App,FALSE
Bitcoin-Bot,"Florida, USA",Bot to generate Bitcoin picture as combinations of icons with random quotes. message in about every two hours.,23/12/2019 16:49,131,84,5728,FALSE,10/02/2021 23:53,"&lt;'fire' &amp; 'man'&gt;
#Bitcoin #Crypto #BTC https://t.co/CV9IyODy55","['Bitcoin', 'Crypto', 'BTC']",BTC_p_bot,FALSE
Cryptocurrencies / EUR,,Stay updated on the main cryptocurrencies of the market | @cryptosUSD for USD | Do you miss any coin? ➡️ DMs open,03/08/2018 21:30,4052,1,9,FALSE,10/02/2021 23:52,"🔄 Prices update in $EUR (1 hour):

$BTC   - 37082.1 €  (-0.51 %)
$ETH   - 1441.59 €  (+0.21 %)
$XRP   - 0.42 €    (… https://t.co/y3wlhAv2SX",,Cryptocurrencies prices to EUR,FALSE
Mikcoin,,"Technical Analyst | Trader

No certainty, only possibilities.",26/11/2020 23:45,104,41,238,FALSE,10/02/2021 23:52,"#BTC #Bitcoin #Ethereum #ETH #Crypto #cryptotrading 

$RSR I know i told you guys the target was $0.060, i know we… https://t.co/bvEtSnhs67","['BTC', 'Bitcoin', 'Ethereum', 'ETH', 'Crypto', 'cryptotrading']",Twitter Web App,FALSE
DeSota Wilson,"Atlanta, GA","Biz Consultant, real estate, fintech, startups, posts are not the view of my employer, RTs are not endorsements, military brat, @UNC alumnus, ΚΑΨ♦️ΦΝΠ, -DW = Me",26/04/2009 20:05,8534,7605,4838,FALSE,10/02/2021 23:52,.@Tesla’s #bitcoin investment is revolutionary for #crypto but other firms may not do the same just yet - @JPMorgan… https://t.co/WyKWfh0ELw,"['bitcoin', 'crypto']",Twitter Web App,FALSE
